model,feature_set,horizon,n_splits,params,oos_r2,qlike_skill_ratio,folds_passed,n_folds,n_obs,holdout_oos_r2,holdout_qlike_skill_ratio
rv_lasso,vol_macro,5,5,{'alpha': 0.01},0.22903979065605118,0.925411022936398,2,5,295,-0.1841276558107916,0.992055208722096
rv_lasso,vol_macro,5,10,{'alpha': 0.01},0.09623658740200502,0.9894494789724888,5,10,295,-0.1841276558107916,0.992055208722096
rv_gb,vol,5,10,"{'n_estimators': 100, 'max_depth': 3}",0.09364851748054592,0.6516253446414692,2,10,8155,-0.8909663912293917,3.096169024391581
rv_gb,vol,5,10,"{'n_estimators': 200, 'max_depth': 3}",0.08899887362297443,0.6828485526582916,2,10,8155,-1.1025397713964407,3.265135559056836
rv_gb,vol,10,10,"{'n_estimators': 100, 'max_depth': 3}",0.07540195567644514,0.633406127779086,2,10,8150,-2.0971612890671265,4.6174652603908415
rv_gb,vol,10,10,"{'n_estimators': 200, 'max_depth': 3}",0.06706677815631534,0.6355261315477324,2,10,8150,-2.4482682035052843,5.097636835405317
rv_gb,vol,5,10,"{'n_estimators': 100, 'max_depth': 5}",0.06439998451528084,0.6661041829743373,2,10,8155,-0.9057975140135968,2.5811241926564166
rv_gb,vol,10,10,"{'n_estimators': 100, 'max_depth': 5}",0.05895876003254896,0.6268990659361963,2,10,8150,-1.5125064680448568,3.2659971930789125
rv_lasso,vol_macro,10,5,{'alpha': 0.01},-0.006028752464670717,1.6300227290099225,2,5,290,-0.24554822108560104,0.9395980542444494
rv_gb,vol,5,5,"{'n_estimators': 200, 'max_depth': 3}",-0.016330027428158145,0.6669962516765403,1,5,8155,-1.1025397713964407,3.265135559056836
rv_gb,vol,5,5,"{'n_estimators': 100, 'max_depth': 5}",-0.016330027428158145,0.6669962516765403,1,5,8155,-0.9057975140135968,2.5811241926564166
rv_gb,vol,5,5,"{'n_estimators': 100, 'max_depth': 3}",-0.016330027428158145,0.6669962516765403,1,5,8155,-0.8909663912293917,3.096169024391581
rv_gb,vol,10,5,"{'n_estimators': 100, 'max_depth': 3}",-0.02171149565130359,0.6419484715464929,1,5,8150,-2.0971612890671265,4.6174652603908415
rv_gb,vol,10,5,"{'n_estimators': 100, 'max_depth': 5}",-0.02171149565130359,0.6419484715464929,1,5,8150,-1.5125064680448568,3.2659971930789125
rv_gb,vol,10,5,"{'n_estimators': 200, 'max_depth': 3}",-0.02171149565130359,0.6419484715464929,1,5,8150,-2.4482682035052843,5.097636835405317
rv_gb,vol_macro,5,10,"{'n_estimators': 100, 'max_depth': 5}",-0.02400666070820323,1.79530613638091,4,10,295,-1.035799819137286,2.029507522424053
rv_lasso,vol_macro,5,10,{'alpha': 0.1},-0.028156904441830832,1.158043333324289,4,10,295,-0.7165931922178248,1.1958219858212698
rv_lasso,vol_macro,5,5,{'alpha': 0.1},-0.046624616450041456,1.0137958669304896,2,5,295,-0.7165931922178248,1.1958219858212698
rv_ridge,vol_macro,5,5,{'alpha': 1.0},-0.09072527820538312,1.5253762273374052,1,5,295,-0.15658827420791188,1.086562299590025
